SITUACIÓN	ok	-	mal	BOTONES	feedback si si	feedback recibido
ES HORA DE SUBIRTE AL AUTO PARA SALIR A LA RUTA. ¿ESTÁ TODO LISTO?	x			UBICAR ESPEJOS	Ubicar los espejos. Mover los espejos para que estén ajustados según tu visibilidad lateral y trasera.	Mover los espejos para que estén ajustados según tu visibilidad lateral y trasera.
	x			CHEQUEAR COMBUSTIBLE	Chequear el combustible. Revisar siempre el combustible del vehículo antes de salir.	Revisar siempre el combustible del vehículo antes de salir.
		x		TOCAR LA BOCINA	No es necesario tocar la bocina para comenzar a conducir.	
	x			CHEQUEAR EL BUEN ESTADO DEL VEHÍCULO.	Chequear el buen estado del vehículo. Especialmente los sistemas de frenado, de dirección, de suspensión y de luces, así como del estado y aire de las cubiertas.	Chequear especialmente los sistemas de frenado, de dirección, de suspensión y de luces, así como del estado y aire de las cubiertas.
		x		PONER BALIZAS	No es necesario poner las balizas para comenzar a conducir.	
	x			AJUSTAR CINTURÓN DE SEGURIDAD	Ajustar el cinturón de seguridad. El uso del cinturón reduce entre un 40 y 50% la probabilidad de muerte en un siniestro de tránsito.	Ajustar el cinturon de seguridad. El uso del cinturón reduce entre un 40 y 50% la probabilidad de muerte en un siniestro de tránsito.
	x			KIT DE PRIMEROS AUXILIOS	Tener el kit de primeros auxilios. El kit establecido por la Ley de Tránsito contempla un matafuegos, balizas portátiles, botiquín de primeros auxilios, crique y chaleco reflectante.	Tener el kit de primeros auxilios. El kit establecido por la Ley de Tránsito contempla un matafuegos, balizas portátiles, botiquín de primeros auxilios, crique y chaleco reflectante.
		x		PRENDER LA RADIO	No es necesario prender la radio para comenzar a conducir.	
	x			LUCES ENCENDIDAS	Tener las luces encendidas. Para conducir en rutas y autopistas siempre debes usar las luces encendidas.	Tener las luces encendidas. Para conducir en rutas y autopistas siempre debes usar las luces encendidas.
¿TENÉS LOS DOCUMENTOS NECESARIOS? ¡CHEQUEALO!	x			CÉDULA AZUL O VERDE DEL VEHÍCULO	Tener la Cédula Azul o Verde del vehículo. Este documento te autoriza a manejar.	Tener la Cédula Azul o Verde del vehículo. Este documento te autoriza a manejar.
	x			LICENCIA AL DIA	Chequear que la licencia esté vigente. Este documento te habilita para conducir.	Chequear que la licencia esté vigente. Este documento te habilita para conducir.
		x		PARTIDA DE NACIMIENTO	No es necesario contar con tu partida de nacimiento para conducir.	No es necesario contar con esta documentación para conducir.
	x			DOCUMENTO DE IDENTIDAD	Tener tu Documento de Identidad. Este documento permite verificar tu identidad	Tener tu Documento de Identidad. Este documento permite verificar tu identidad
	x			COMPROBANTE DEL SEGURO VIGENTE	Tener un comprobante de tu seguro que sea vigente. La Ley de Tránsito establece la contratación de un seguro de responsabilidad civil, más conocido como seguro contra terceros. También hay otros tipos de coberturas más completos.	Tener un comprobante de tu seguro que sea vigente. La Ley de Tránsito establece la contratación de un seguro de responsabilidad civil, más conocido como seguro contra terceros. También hay otros tipos de coberturas más completos.
		x		FOTOGRAFÍA 4X4 DEL CONDUCTOR	No es necesario contar con una fotografia 4x4 tuya para conducir.	No es necesario contar con esta documentación para conducir.
	x			PATENTE LEGIBLE	Tener la patente. La patente es la identidad del auto, siempre debe estar en buen estado y ser visible.	La patente es la identidad del auto, siempre debe estar en buen estado y ser visible.
		x		TARJETA DE CRÉDITO	No es necesario contar con una tarjeta de crédito para conducir.	No es necesario contar con esta documentación para conducir.
	x			RTO O VTV AL DIA	Tener la RTO o VTV al día. Este control del estado del vehículo debe realizarse, dependiendo el año del auto, cada 6 meses, 1 año o dos años.	Este control del estado del vehículo debe realizarse, dependiendo el año del auto, cada 6 meses, 1 año o dos años.
¡CUIDADO! UN ANIMAL SE CRUZA EN TU CAMINO.	x			REDUCIR LA VELOCIDAD AL MÍNIMO	Reducir la velocidad al mínimo. Es vital reducir la velocidad para evitar posibles siniestros.	Bien hecho! Así evitas posibles siniestros.
			x	GIRAR EN U	Girar en U. No está permitido girar en U. Podrías generar un siniestro al ir en contramano.	No está permitida esta acción y podrías generar un siniestro al ir en contramano.
	x			ESPERAR QUE CRUCE  ANTES DE AVANZAR	Esperar que cruce antes de avanzar. Acomodá tu vehículo en un lugar seguro y luego avisá a las autoridades correspondientes.	Bien hecho! Acomodá tu vehículo en un lugar seguro, y luego avisá a las autoridades correspondientes.
	x			PONER BALIZAS	Poner las balizas. Estas le avisan a los otros autos que vas a frenar y así podés evitar siniestros.	Bien hecho! Las balizas permiten al auto que te diga, saber que vas a frenar y así evitar siniestros.
		x		PONER GUIÑO	No es necesaria poner el guiño. 	No es necesaria esta acción.
	x			TOCAR BOCINA	Tocar la bocina. Tocar la bocina podría animar al animal a avanzar. Eso sí, nunca bajes del vehículo ni te le acerques	Bien hecho! Si el animal no se mueve, la bocina podría animarlo a avanzar. Nunca bajes del vehículo ni te acerques al animal.
	x			AVISAR A LAS AUTORIDADES	Avisar a las autoridades ya que podrían ayudarte a resolver la situación.	Bien hecho! Ellos podrán ayudarte a resolver la situación
UN CAMIÓN CONDUCE LENTO DELANTE TUYO. DEBÉS PASARLO.	x			PONER EL GUIÑO	Poner el guiño avisará a los autos que moverás tu vehículo hacia el otro carril.	Bien hecho! Esta acción avisará a los autos que te siguen que moverás tu vehículo hacia el otro carril.
			x	PONER FRENO DE MANO	Poner freno de mano. Si frenas de golpe en medio de la ruta podrías causar un siniestro. 	Si frenas de golpe en medio de la ruta podrías causar un siniestro. 
